items,items_img,set_win_rate,set_pick_rate,set_sample_size
蒐集者|衝擊火炮|無盡之刃|致死宣告|嗜血者,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3033.webp|https://cdn5.lolalytics.com/item64/3072.webp,53.85,0.48,52
蒐集者|無盡之刃|致死宣告|衝擊火炮|嗜血者,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3033.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3072.webp,59.52,0.39,42
蒐集者|衝擊火炮|無盡之刃|多明尼克的問候|妖夢鬼刀,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3142.webp,53.66,0.38,41
蒐集者|無盡之刃|多明尼克的問候|衝擊火炮|夜色緣界,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3814.webp,43.59,0.36,39
蒐集者|衝擊火炮|多明尼克的問候|無盡之刃|嗜血者,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3072.webp,65.71,0.32,35
蒐集者|無盡之刃|衝擊火炮|多明尼克的問候|水星彎刀,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3139.webp,52.94,0.31,34
蒐集者|衝擊火炮|無盡之刃|多明尼克的問候|夜色緣界,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3814.webp,42.42,0.3,33
蒐集者|無盡之刃|多明尼克的問候|衝擊火炮|妖夢鬼刀,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3142.webp,70.37,0.25,27
蒐集者|無盡之刃|多明尼克的問候|嗜血者|衝擊火炮,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3072.webp|https://cdn5.lolalytics.com/item64/3094.webp,52.0,0.23,25
126697|蒐集者|多明尼克的問候|無盡之刃|衝擊火炮,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp,56.0,0.23,25
126697|蒐集者|無盡之刃|多明尼克的問候|嗜血者,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3072.webp,47.83,0.21,23
蒐集者|公理弧刃|無盡之刃|衝擊火炮|多明尼克的問候,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp,72.73,0.2,22
蒐集者|無盡之刃|衝擊火炮|多明尼克的問候|公理弧刃,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/6696.webp,59.09,0.2,22
126697|公理弧刃|蒐集者|無盡之刃|衝擊火炮,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp,57.14,0.19,21
蒐集者|無盡之刃|衝擊火炮|多明尼克的問候|巨蛇鋒牙,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/6695.webp,38.1,0.19,21
蒐集者|衝擊火炮|無盡之刃|多明尼克的問候|水星彎刀,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3139.webp,90.48,0.19,21
蒐集者|公理弧刃|無盡之刃|多明尼克的問候|衝擊火炮,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3094.webp,38.1,0.19,21
蒐集者|多明尼克的問候|無盡之刃|衝擊火炮|嗜血者,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3072.webp,42.86,0.19,21
蒐集者|衝擊火炮|無盡之刃|嗜血者|多明尼克的問候,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3072.webp|https://cdn5.lolalytics.com/item64/3036.webp,40.0,0.18,20
126697|蒐集者|無盡之刃|衝擊火炮|嗜血者,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3072.webp,68.42,0.17,19
無盡之刃|蒐集者|衝擊火炮|多明尼克的問候|嗜血者,https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3072.webp,68.42,0.17,19
蒐集者|無盡之刃|衝擊火炮|致死宣告|水星彎刀,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3033.webp|https://cdn5.lolalytics.com/item64/3139.webp,52.63,0.17,19
126697|公理弧刃|蒐集者|無盡之刃|多明尼克的問候,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp,68.42,0.17,19
蒐集者|無盡之刃|衝擊火炮|致死宣告|夜色緣界,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3033.webp|https://cdn5.lolalytics.com/item64/3814.webp,76.47,0.16,17
蒐集者|衝擊火炮|致死宣告|無盡之刃|嗜血者,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3033.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3072.webp,50.0,0.15,16
126697|蒐集者|衝擊火炮|多明尼克的問候|無盡之刃,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3031.webp,62.5,0.15,16
蒐集者|無盡之刃|衝擊火炮|嗜血者|致死宣告,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3072.webp|https://cdn5.lolalytics.com/item64/3033.webp,43.75,0.15,16
蒐集者|公理弧刃|多明尼克的問候|無盡之刃|衝擊火炮,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp,35.71,0.13,14
126697|公理弧刃|蒐集者|多明尼克的問候|無盡之刃,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3031.webp,53.85,0.12,13
126697|蒐集者|多明尼克的問候|衝擊火炮|無盡之刃,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp,46.15,0.12,13
無盡之刃|蒐集者|多明尼克的問候|衝擊火炮|嗜血者,https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3072.webp,61.54,0.12,13
126697|蒐集者|無盡之刃|衝擊火炮|致死宣告,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3033.webp,75.0,0.11,12
蒐集者|無盡之刃|致死宣告|衝擊火炮|水星彎刀,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3033.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3139.webp,50.0,0.11,12
126697|蒐集者|衝擊火炮|無盡之刃|嗜血者,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3072.webp,83.33,0.11,12
蒐集者|無盡之刃|多明尼克的問候|衝擊火炮|水星彎刀,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3139.webp,90.91,0.1,11
妖夢鬼刀|衝擊火炮|無盡之刃|多明尼克的問候|蒐集者,https://cdn5.lolalytics.com/item64/3142.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/6676.webp,36.36,0.1,11
蒐集者|無盡之刃|多明尼克的問候|衝擊火炮|公理弧刃,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/6696.webp,63.64,0.1,11
蒐集者|無盡之刃|衝擊火炮|多明尼克的問候|幻影之舞,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3046.webp,72.73,0.1,11
蒐集者|無盡之刃|多明尼克的問候|衝擊火炮|巨蛇鋒牙,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/6695.webp,40.0,0.09,10
妖夢鬼刀|蒐集者|衝擊火炮|無盡之刃|多明尼克的問候,https://cdn5.lolalytics.com/item64/3142.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp,60.0,0.09,10
蒐集者|衝擊火炮|多明尼克的問候|無盡之刃|夜色緣界,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3814.webp,70.0,0.09,10
蒐集者|無盡之刃|衝擊火炮|致死宣告|妖夢鬼刀,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3033.webp|https://cdn5.lolalytics.com/item64/3142.webp,80.0,0.09,10
蒐集者|無盡之刃|衝擊火炮|嗜血者|魔提斯深淵,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3072.webp|https://cdn5.lolalytics.com/item64/3156.webp,80.0,0.09,10
蒐集者|126697|衝擊火炮|無盡之刃|多明尼克的問候,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp,10.0,0.09,10
蒐集者|126697|無盡之刃|衝擊火炮|多明尼克的問候,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp,50.0,0.09,10
蒐集者|無盡之刃|衝擊火炮|多明尼克的問候|126697,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/126697.webp,60.0,0.09,10
蒐集者|衝擊火炮|無盡之刃|多明尼克的問候|巨蛇鋒牙,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/6695.webp,55.56,0.08,9
126697|蒐集者|公理弧刃|無盡之刃|多明尼克的問候,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp,33.33,0.08,9
妖夢鬼刀|蒐集者|無盡之刃|衝擊火炮|多明尼克的問候,https://cdn5.lolalytics.com/item64/3142.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp,66.67,0.08,9
蒐集者|衝擊火炮|無盡之刃|嗜血者|致死宣告,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3072.webp|https://cdn5.lolalytics.com/item64/3033.webp,77.78,0.08,9
126697|蒐集者|公理弧刃|多明尼克的問候|無盡之刃,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3031.webp,55.56,0.08,9
公理弧刃|蒐集者|無盡之刃|多明尼克的問候|衝擊火炮,https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3094.webp,44.44,0.08,9
蒐集者|公理弧刃|衝擊火炮|無盡之刃|多明尼克的問候,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp,55.56,0.08,9
蒐集者|公理弧刃|無盡之刃|衝擊火炮|致死宣告,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3033.webp,55.56,0.08,9
妖夢鬼刀|衝擊火炮|無盡之刃|多明尼克的問候|嗜血者,https://cdn5.lolalytics.com/item64/3142.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3072.webp,37.5,0.07,8
蒐集者|126697|無盡之刃|多明尼克的問候|衝擊火炮,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3094.webp,50.0,0.07,8
126697|公理弧刃|蒐集者|妖夢鬼刀|夜色緣界,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3142.webp|https://cdn5.lolalytics.com/item64/3814.webp,50.0,0.07,8
蒐集者|無盡之刃|衝擊火炮|公理弧刃|多明尼克的問候,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/3036.webp,75.0,0.07,8
蒐集者|衝擊火炮|無盡之刃|致死宣告|夜色緣界,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3033.webp|https://cdn5.lolalytics.com/item64/3814.webp,37.5,0.07,8
蒐集者|衝擊火炮|無盡之刃|多明尼克的問候|幻影之舞,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3046.webp,71.43,0.06,7
蒐集者|無盡之刃|衝擊火炮|嗜血者|幻影之舞,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3072.webp|https://cdn5.lolalytics.com/item64/3046.webp,57.14,0.06,7
蒐集者|無盡之刃|衝擊火炮|魔提斯深淵|多明尼克的問候,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3156.webp|https://cdn5.lolalytics.com/item64/3036.webp,57.14,0.06,7
蒐集者|無盡之刃|衝擊火炮|嗜血者|夜色緣界,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3072.webp|https://cdn5.lolalytics.com/item64/3814.webp,71.43,0.06,7
妖夢鬼刀|蒐集者|衝擊火炮|多明尼克的問候|無盡之刃,https://cdn5.lolalytics.com/item64/3142.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3031.webp,71.43,0.06,7
蒐集者|致死宣告|無盡之刃|衝擊火炮|嗜血者,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3033.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3072.webp,42.86,0.06,7
126697|公理弧刃|蒐集者|衝擊火炮|無盡之刃,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp,42.86,0.06,7
126697|蒐集者|衝擊火炮|無盡之刃|幻影之舞,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3046.webp,71.43,0.06,7
公理弧刃|蒐集者|無盡之刃|衝擊火炮|多明尼克的問候,https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp,57.14,0.06,7
妖夢鬼刀|衝擊火炮|無盡之刃|多明尼克的問候|幻影之舞,https://cdn5.lolalytics.com/item64/3142.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3046.webp,42.86,0.06,7
蒐集者|衝擊火炮|無盡之刃|致死宣告|水星彎刀,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3033.webp|https://cdn5.lolalytics.com/item64/3139.webp,42.86,0.06,7
無盡之刃|蒐集者|衝擊火炮|多明尼克的問候|妖夢鬼刀,https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/3036.webp|https://cdn5.lolalytics.com/item64/3142.webp,57.14,0.06,7
126697|公理弧刃|蒐集者|夜色緣界|席利妲咒怨,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6696.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3814.webp|https://cdn5.lolalytics.com/item64/6694.webp,57.14,0.06,7
蒐集者|無盡之刃|衝擊火炮|不朽盾弓|嗜血者,https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3094.webp|https://cdn5.lolalytics.com/item64/6673.webp|https://cdn5.lolalytics.com/item64/3072.webp,57.14,0.06,7
126697|蒐集者|無盡之刃|致死宣告|衝擊火炮,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3031.webp|https://cdn5.lolalytics.com/item64/3033.webp|https://cdn5.lolalytics.com/item64/3094.webp,42.86,0.06,7
