item_id,en_name,zh_tw_name,tags,ddragon_version
3140,Quicksilver Sash,水銀飾帶,"Active,SpellBlock",15.19.1
3142,Youmuu's Ghostblade,妖夢鬼刀,"Damage,Active,NonbootsMovement,ArmorPenetration",15.19.1
3143,Randuin's Omen,蘭頓之兆,"Health,Armor,Active,Slow",15.19.1
3144,Scout's Slingshot,斥候彈弓,AttackSpeed,15.19.1
3145,Hextech Alternator,海克斯科技發電機,SpellDamage,15.19.1
3146,Hextech Gunblade,海克斯科技槍刃,"Damage,LifeSteal,SpellDamage,Active,SpellVamp",15.19.1
3147,Haunting Guise,幽魂面具,"Health,SpellDamage",15.19.1
3152,Hextech Rocketbelt,海克斯科技火箭腰帶,"Health,SpellDamage,Active,CooldownReduction,NonbootsMovement,AbilityHaste",15.19.1
3153,Blade of The Ruined King,殞落王者之劍,"Damage,AttackSpeed,LifeSteal,Slow,OnHit",15.19.1
3155,Hexdrinker,吸魔劍,"Damage,SpellBlock",15.19.1
3156,Maw of Malmortius,魔提斯深淵,"SpellBlock,Damage,LifeSteal,SpellVamp,AbilityHaste",15.19.1
3157,Zhonya's Hourglass,中婭沙漏,"Armor,SpellDamage,Active",15.19.1
3158,Ionian Boots of Lucidity,愛歐尼亞之靴,"Boots,CooldownReduction",15.19.1
3161,Spear of Shojin,精進之矛,"Health,Damage,AbilityHaste",15.19.1
3165,Morellonomicon,黑魔禁書,"Health,SpellDamage,CooldownReduction,AbilityHaste",15.19.1
3170,Swiftmarch,快速行軍,Boots,15.19.1
3171,Crimson Lucidity,血色法靴,"CooldownReduction,Boots",15.19.1
3172,Gunmetal Greaves,槍銅護脛,"AttackSpeed,NonbootsMovement",15.19.1
3173,Chainlaced Crushers,鎖鍊軍靴,"SpellBlock,Boots,Tenacity,MagicResist",15.19.1
3174,Armored Advance,裝甲戰靴,"Armor,Boots",15.19.1
3175,Spellslinger's Shoes,魔法使之鞋,"Boots,MagicPenetration",15.19.1
3176,Forever Forward,勇進靈靴,Boots,15.19.1
3177,Guardian's Blade,保衛者之刃,"Health,Damage,Lane,AbilityHaste",15.19.1
3179,Umbral Glaive,闇影戰戟,"Damage,Vision,CooldownReduction,ArmorPenetration,AbilityHaste",15.19.1
3181,Hullbreaker,破船戰斧,"Health,Damage,NonbootsMovement",15.19.1
3184,Guardian's Hammer,保衛者戰鎚,"Health,Damage,LifeSteal,Lane",15.19.1
3190,Locket of the Iron Solari,日輪的加冕,"Health,SpellBlock,Armor,Aura,Active,MagicResist,AbilityHaste",15.19.1
3193,Gargoyle Stoneplate,石像鬼磐核,"SpellBlock,Armor,Active,CooldownReduction,AbilityHaste",15.19.1
3211,Spectre's Cowl,亡靈斗篷,"Health,HealthRegen,SpellBlock",15.19.1
3222,Mikael's Blessing,米凱的祝福,"Health,ManaRegen,Active,CooldownReduction,Tenacity,AbilityHaste",15.19.1
3302,Terminus,臨界點,"Damage,AttackSpeed,OnHit,MagicPenetration,ArmorPenetration",15.19.1
3330,Scarecrow Effigy,稻草人,"Active,Jungle,Lane,Trinket,Vision",15.19.1
3340,Stealth Ward,潛行守衛,"Active,Jungle,Lane,Trinket,Vision",15.19.1
3348,Arcane Sweeper,奧術清除者,"Active,Jungle,Lane,Trinket,Vision",15.19.1
3349,Lucent Singularity,光明異點,"Active,Jungle,Lane,Trinket,Vision",15.19.1
3363,Farsight Alteration,鷹眼晶球,"Active,Trinket,Vision",15.19.1
3364,Oracle Lens,先知透視鏡,"Active,Trinket,Vision",15.19.1
3398,Small Party Favor,小型派對禮物,"Consumable,GoldPer",15.19.1
3399,Party Favor,派對禮物,"Consumable,GoldPer",15.19.1
3400,Your Cut,你也有份,"Consumable,GoldPer",15.19.1
3430,Rite Of Ruin,殞落之祭,"CriticalStrike,SpellDamage,CooldownReduction",15.19.1
3504,Ardent Censer,熾灼魔器,"AttackSpeed,SpellDamage,ManaRegen,NonbootsMovement",15.19.1
3508,Essence Reaver,奪魄之鐮,"Damage,CriticalStrike,ManaRegen,CooldownReduction,OnHit,AbilityHaste",15.19.1
3513,Eye of the Herald,預示者之眼,"Trinket,Active",15.19.1
3599,Kalista's Black Spear,克黎思妲的靈魂黑矛,Consumable,15.19.1
3600,Kalista's Black Spear,克黎思妲的靈魂黑矛,Consumable,15.19.1
3742,Dead Man's Plate,死者肩甲,"Health,Armor,Slow,NonbootsMovement",15.19.1
3748,Titanic Hydra,泰坦九頭蛇,"Health,HealthRegen,Damage,OnHit",15.19.1
3801,Crystalline Bracer,水晶護腕,"Health,HealthRegen",15.19.1
3802,Lost Chapter,失落之章,"SpellDamage,Mana,ManaRegen,CooldownReduction,AbilityHaste",15.19.1
3803,Catalyst of Aeons,催化魔方,"Health,HealthRegen,Mana,ManaRegen",15.19.1
3814,Edge of Night,夜色緣界,"Health,Damage,ArmorPenetration",15.19.1
3850,Spellthief's Edge,盜竊之刃,"Health,SpellDamage,ManaRegen,Vision,GoldPer,Lane",15.19.1
3851,Frostfang,霜牙,"GoldPer,Lane,ManaRegen,SpellDamage",15.19.1
3853,Shard of True Ice,真霜碎片,"GoldPer,Lane,ManaRegen,SpellDamage",15.19.1
3854,Steel Shoulderguards,鋼鐵護肩,"Health,HealthRegen,Damage,Vision,GoldPer,Lane",15.19.1
3855,Runesteel Spaulders,符文鋼肩,"Health,HealthRegen,GoldPer,Lane",15.19.1
3857,Pauldrons of Whiterock,白石韌肩,"Health,HealthRegen,GoldPer,Lane",15.19.1
3858,Relic Shield,遺跡之盾,"Health,HealthRegen,SpellDamage,Vision,GoldPer,Lane",15.19.1
3859,Targon's Buckler,巨石峰圓盾,"Health,HealthRegen,GoldPer,Lane",15.19.1
3860,Bulwark of the Mountain,群山堡壘,"Health,HealthRegen,GoldPer,Lane",15.19.1
3862,Spectral Sickle,幽魂之鐮,"Health,Damage,ManaRegen,Vision,GoldPer,Lane",15.19.1
3863,Harrowing Crescent,駭懼之鐮,"Health,ManaRegen,GoldPer,Lane",15.19.1
3864,Black Mist Scythe,黯霧之鐮,"Health,ManaRegen,GoldPer,Lane",15.19.1
3865,World Atlas,世界地圖,"Health,ManaRegen,Vision,GoldPer,Lane",15.19.1
3866,Runic Compass,符文指針,"SpellDamage,ManaRegen,Vision,GoldPer,Lane",15.19.1
3867,Bounty of Worlds,跨界獎賞,"SpellDamage,ManaRegen,Vision,GoldPer,Lane",15.19.1
3869,Celestial Opposition,星體抗力,"Health,HealthRegen,ManaRegen,Vision,GoldPer,Lane",15.19.1
3870,Dream Maker,夢寐以求,"Health,HealthRegen,ManaRegen,Vision,GoldPer,Lane",15.19.1
3871,Zaz'Zak's Realmspike,薩茲薩克的領域之刺,"Health,HealthRegen,ManaRegen,Vision,GoldPer,Lane",15.19.1
3876,Solstice Sleigh,冬至雪橇,"Health,HealthRegen,ManaRegen,Vision,GoldPer,Lane",15.19.1
3877,Bloodsong,血歌,"Health,HealthRegen,ManaRegen,Vision,GoldPer,Lane",15.19.1
3901,<rarityLegendary>Fire at Will</rarityLegendary><br><subtitleLeft><silver>500 Silver Serpents</silver></subtitleLeft>,<rarityLegendary>恣意開火</rarityLegendary><br><subtitleLeft><silver>500 毒蛇銀幣</silver></subtitleLeft>,,15.19.1
3902,<rarityLegendary>Death's Daughter</rarityLegendary><br><subtitleLeft><silver>500 Silver Serpents</silver></subtitleLeft>,<rarityLegendary>死亡之女</rarityLegendary><br><subtitleLeft><silver>500 毒蛇銀幣</silver></subtitleLeft>,,15.19.1
3903,<rarityLegendary>Raise Morale</rarityLegendary><br><subtitleLeft><silver>500 Silver Serpents</silver></subtitleLeft>,<rarityLegendary>士氣高昂</rarityLegendary><br><subtitleLeft><silver>500 毒蛇銀幣</silver></subtitleLeft>,,15.19.1
3916,Oblivion Orb,遺忘寶珠,SpellDamage,15.19.1
4003,Lifeline,生命之索,"Damage,NonbootsMovement,ArmorPenetration",15.19.1
4004,Spectral Cutlass,鬼使彎刀,"Damage,NonbootsMovement,ArmorPenetration",15.19.1
4005,Imperial Mandate,帝王命令,"SpellDamage,ManaRegen,CooldownReduction,AbilityHaste",15.19.1
4010,Bloodletter's Curse,血書詛咒,"SpellBlock,SpellDamage,CooldownReduction,MagicPenetration",15.19.1
4011,Sword of Blossoming Dawn,破曉綻放之劍,"Health,SpellDamage,CooldownReduction,OnHit,AbilityHaste",15.19.1
4012,Sin Eater,食罪者,"Health,SpellBlock,Armor,Tenacity",15.19.1
4013,Lightning Braid,雷霆之辮,"SpellBlock,Armor,SpellDamage,Tenacity",15.19.1
4014,Frozen Mallet,冰霜之錘,"Health,Damage,AttackSpeed,Slow",15.19.1
4015,Perplexity,困惑,"SpellDamage,CooldownReduction,NonbootsMovement,MagicPenetration,ArmorPenetration,AbilityHaste",15.19.1
4016,Wordless Promise,無言之約,"SpellDamage,CooldownReduction,AbilityHaste",15.19.1
4017,Hellfire Hatchet,獄火手斧,"Damage,ArmorPenetration",15.19.1
4401,Force of Nature,自然之力,"Health,SpellBlock,NonbootsMovement",15.19.1
4402,Innervating Locket,支配寶匣,"Health,Damage,Mana,CooldownReduction,AbilityHaste",15.19.1
4403,The Golden Spatula,黃金鍋鏟,"Health,SpellBlock,HealthRegen,Armor,Damage,CriticalStrike,AttackSpeed,LifeSteal,SpellDamage,Mana,ManaRegen,CooldownReduction,NonbootsMovement",15.19.1
4628,Horizon Focus,視界專注,"SpellDamage,AbilityHaste",15.19.1
4629,Cosmic Drive,星河馳騁,"Health,SpellDamage,NonbootsMovement,AbilityHaste",15.19.1
4630,Blighting Jewel,枯萎寶石,"MagicPenetration,SpellDamage",15.19.1
4632,Verdant Barrier,蒼翠屏障,"SpellBlock,SpellDamage",15.19.1
4633,Riftmaker,峽谷製造者,"Health,SpellDamage,CooldownReduction,SpellVamp",15.19.1
4635,Leeching Leer,榨血睥睨,"Health,SpellDamage,SpellVamp",15.19.1
4636,Night Harvester,闇夜收割者,"Health,SpellDamage,CooldownReduction,NonbootsMovement,AbilityHaste",15.19.1
4637,Demonic Embrace,惡魔之擁,"Health,SpellDamage",15.19.1
4638,Watchful Wardstone,警戒視石,"Health,SpellBlock,Armor,Vision,Active,CooldownReduction,AbilityHaste",15.19.1
4641,Stirring Wardstone,活耀視石,"Health,Damage,SpellDamage,ManaRegen,Vision,Active,CooldownReduction,AbilityHaste",15.19.1
4642,Bandleglass Mirror,班德爾玻璃之鏡,"SpellDamage,ManaRegen,CooldownReduction,AbilityHaste",15.19.1
4643,Vigilant Wardstone,警覺視石,"Health,SpellBlock,Armor,Vision,Active,CooldownReduction,AbilityHaste",15.19.1
4644,Crown of the Shattered Queen,殘破王后之冠,"Health,SpellDamage,Mana,NonbootsMovement,AbilityHaste",15.19.1
4645,Shadowflame,黯影之炎,"SpellDamage,MagicPenetration",15.19.1
4646,Stormsurge,雷霆風暴,"SpellDamage,GoldPer,NonbootsMovement,MagicPenetration",15.19.1
6029,Ironspike Whip,鐵刺之鞭,"Damage,Active",15.19.1
6035,Silvermere Dawn,銀織黎明,"Health,SpellBlock,Damage,Active,Tenacity",15.19.1
6333,Death's Dance,死亡之舞,"Armor,Damage,AbilityHaste",15.19.1
6609,Chempunk Chainsword,生化龐克鏈鋸之劍,"Health,Damage,CooldownReduction,AbilityHaste",15.19.1
6610,Sundered Sky,突破天際,"Health,Damage,CooldownReduction,AbilityHaste",15.19.1
6616,Staff of Flowing Water,流水之杖,"SpellDamage,ManaRegen,CooldownReduction,AbilityHaste",15.19.1
6617,Moonstone Renewer,月之石再生裝置,"Health,SpellDamage,ManaRegen,CooldownReduction,AbilityHaste",15.19.1
6620,Echoes of Helia,希利亞的迴響,"Health,SpellDamage,ManaRegen,CooldownReduction,AbilityHaste",15.19.1
6621,Dawncore,破曉之核,"SpellDamage,ManaRegen",15.19.1
6630,Goredrinker,飲血戰錘,"Health,Damage,LifeSteal,Active,CooldownReduction,SpellVamp,AbilityHaste",15.19.1
6631,Stridebreaker,步履破壞者,"Health,Damage,AttackSpeed,Slow",15.19.1
6632,Divine Sunderer,聖裂之杖,"Health,Damage,CooldownReduction,OnHit,MagicPenetration,ArmorPenetration,AbilityHaste",15.19.1
6653,Liandry's Torment,黎安卓的折磨,"Health,SpellDamage",15.19.1
6655,Luden's Companion,盧登之伴,"SpellDamage,Mana,CooldownReduction,AbilityHaste",15.19.1
6656,Everfrost,永寒之霜,"Health,SpellDamage,Mana,Active,CooldownReduction,Slow,AbilityHaste",15.19.1
6657,Rod of Ages,時光之杖,"Health,HealthRegen,SpellDamage,Mana,ManaRegen",15.19.1
6660,Bami's Cinder,巴米灰燼,"Health,AbilityHaste",15.19.1
6662,Iceborn Gauntlet,寒冰霸拳,"Health,Armor,CooldownReduction,Slow,OnHit,AbilityHaste",15.19.1
6664,Hollow Radiance,虛偽光彩,"Health,SpellBlock,HealthRegen,Aura,MagicResist,AbilityHaste",15.19.1
6665,"Jak'Sho, The Protean",千變萬化之賈克修,"Health,SpellBlock,Armor,MagicResist",15.19.1
6667,Radiant Virtue,聖光美德,"Health,SpellBlock,Armor,Aura,CooldownReduction,AbilityHaste",15.19.1
6670,Noonquiver,正午箭筒,"Damage,CriticalStrike",15.19.1
6671,Galeforce,狂風之力,"Damage,CriticalStrike,AttackSpeed,Active,NonbootsMovement",15.19.1
6672,Kraken Slayer,海妖殺手,"Damage,AttackSpeed,OnHit,NonbootsMovement",15.19.1
